Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Примаченко,Світлана,Панасівна,Жіноча,1963-08-28,Журналіст,хутір Самар,"сквер Цебриківська, буд. 33 кв. 3, Снігурівка, 37302",+380 (42) 679-77-41,lbaran@example.com
Гунько,Йосип,Соломонович,Чоловіча,1998-07-31,Модель,село Олевськ,"площа Лиманчик 2-й Лінія 8-ма, буд. 5 кв. 843, Виноградів, 61069",+380 79 241-19-22,larysakarpa@example.net
Юхименко,Зиновій,Вʼячеславович,Чоловіча,1962-04-17,Етнограф,село Костопіль,"шосе Деревообробний 3-й, буд. 71, Берегове, 68656",004 108 30 77,kmatviienko@example.org
Шморгун,Яків,Макарович,Чоловіча,1959-06-18,Підприємець,село Приморськ,"набережна Лазурний 3-й, буд. 277 кв. 5, Липовець, 04735",379 57 01,zhalilopylyp@example.net
Шеремета,Аврелій,Єфремович,Чоловіча,1962-07-20,Актор,місто Овруч,"парк Миколи Огренича, буд. 35, Зеленодольськ, 36966",+380 47 363-63-00,borys99@example.org
Сімашкевич,Симон,Русланович,Чоловіча,1994-06-12,Кінокритик,місто Маріуполь,"проспект Василя Симоненка, буд. 9, Рудки, 98011",055 755-00-59,sviatoslav85@example.net
Байда,Ярослава,Іллівна,Жіноча,2007-01-15,Програміст,хутір Новодружеськ,"проспект Москеті, буд. 312, Корюківка, 40160",+380 37 195-43-12,baranykparmen@example.org
Зайченко,Вʼячеслав,Станіславович,Чоловіча,1944-06-13,Кушнір,місто Бобровиця,"площа Сабанський, буд. 039, Барвінкове, 23115",+380 (73) 152-41-86,kyrylo25@example.net
Артюх,Ольга,Ігнатівна,Жіноча,1959-02-22,Музичний редактор,село Мукачево,"шосе Баштанна, буд. 7 кв. 06, Олександрія, 81351",+380 41 405-09-92,martyndrobiazko@example.com
Джус,Данна,Артемівна,Жіноча,1949-02-11,Бізнесмен,хутір Збараж,"шосе Глаубермана, буд. 317 кв. 54, Кам'янка-Дніпровська, 08286",+380 55 357-62-21,khoma83@example.net
Онуфрієнко,Зиновій,Леонідович,Чоловіча,1987-01-23,Фермер,селище Бережани,"парк Сергія Уточкіна, буд. 538 кв. 78, Мерефа, 87294",+380 00 416-10-02,leontiikonoplia@example.com
Приймак,Сергій,Захарович,Чоловіча,1954-01-01,Кухар,селище Курахове,"парк Спортивний, буд. 32 кв. 409, Косів, 68358",137-51-69,irena72@example.com
Бабʼюк,Михайло,Арсенович,Чоловіча,1950-08-21,Правник,селище Горішні Плавні,"шосе Весняна, буд. 3, Борислав, 62488",022 122 54 41,ieroshenkoherman@example.com
Макаренко,Марина,Лукʼянівна,Жіноча,1953-09-11,Бібліограф,місто Ківерці,"провулок Корнюшина, буд. 49 кв. 093, Вилкове, 70804",+380 92 563 50 82,dkorsun@example.com
Вернигора,Лукʼян,Антонович,Чоловіча,1991-11-20,Підприємець,селище Оріхів,"вулиця Італійський, буд. 4, Бобровиця, 47520",+380 63 496 65 49,vladyslav08@example.com
Яремко,Олена,Марківна,Жіноча,1954-05-30,Кінорежисер,село Пустомити,"сквер Танкерна, буд. 0, Олешки, 16125",025 496 41 87,rozaliia39@example.org
Євтушенко,Остап,Аврелійович,Чоловіча,1970-02-14,Антрополог,селище Новий Розділ,"площа 11-ша Лінія 6-й ст. Люстдорфської дороги, буд. 89, Турка, 24111",029-68-38,radchenkoboleslav@example.net
Романець,Арсен,Тарасович,Чоловіча,1990-02-06,Електромонтер,хутір Могилів-Подільський,"парк Урожайна, буд. 9 кв. 5, Павлоград, 88552",095 112-67-46,kkolodub@example.org
Комар,Ірина,Теодорівна,Жіноча,1988-01-27,Мовознавець,хутір Кальміуське,"парк Сергія Єфремова, буд. 4, Вінниця, 79471",082 75 07,ihnat29@example.com
Іваничук,Максим,Назарович,Чоловіча,1998-07-25,Паралегал,місто Сімферополь,"набережна Танкістів, буд. 940, Хмільник, 55458",758-26-64,ierchenkooksana@example.org
Гречаник,Святослав,Ааронович,Чоловіча,1963-05-28,Провізор,село Бобринець,"провулок Савицький, буд. 17, Нове Давидково, 74619",+380 (52) 926-90-54,eierchenko@example.net
Бабенко,Августин,Олегович,Чоловіча,1963-12-12,Кіноактор,селище Суходільськ,"набережна Кордонний, буд. 21, Перечин, 51302",+380 (26) 460-62-98,daryna36@example.net
Бабич,Болеслав,Павлович,Чоловіча,1989-05-20,Провізор,селище Тернопіль,"парк Володі Дубініна, буд. 11 кв. 0, Кремінна, 83828",509 33 62,jmykhaliuk@example.net
Єфименко,Надія,Миронівна,Жіноча,1977-10-13,Євнух,місто Скалат,"провулок Дальній, буд. 0 кв. 4, Бобринець, 69949",+380 37 975 92 37,lbazavluchenko@example.com
Чубай,Остап,Богуславович,Чоловіча,1988-07-10,Нотаріус,місто Калуш,"набережна Промислова, буд. 9, Полтава, 99359",+380 (15) 014-62-98,okseniia88@example.org
Полтавець,Віктор,Климентович,Чоловіча,1980-09-12,Програміст,селище Новоград-Волинський,"узвіз Саксаганського, буд. 661, Самар, 75579",397 57 02,nazarvelychko@example.com
Луценко,Борис,Демʼянович,Чоловіча,1967-06-24,Педагог,хутір Мукачево,"провулок Магістральна, буд. 979 кв. 5, Батурин, 68582",+380 10 314-39-44,valentyniakymenko@example.net
Деркач,Лілія,Йосипівна,Жіноча,1982-02-02,Менеджер,місто Міусинськ,"шосе Василя Симоненка, буд. 25 кв. 894, Звенигородка, 42567",062 166 13 65,nehodatrokhym@example.org
Воблий,Алевтин,Васильович,Чоловіча,1955-12-08,Біолог,місто Жмеринка,"провулок Мечникова, буд. 5 кв. 76, Рубіжне, 59157",+380 47 093-55-98,nmiroshnychenko@example.net
Запорожець,Віктор,Геннадійович,Чоловіча,2001-02-15,Візажист,хутір Тисмениця,"парк Виноградний, буд. 0 кв. 0, Борзна, 18798",+380 (23) 254-59-56,oksanaavramchuk@example.net
Андрейко,Любов,Іллівна,Жіноча,1941-05-19,Бібліотекар,місто Конотоп,"площа Восьмого Березня Лінія 1-ша, буд. 1, Алчевськ, 29483",+380 98 712-02-02,anzhelapiatachenko@example.net
Конопленко,Вікторія,Владиславівна,Жіноча,1971-07-08,Державний службовець,місто Заводське,"провулок Газова, буд. 852 кв. 93, Батурин, 83781",+380 (86) 394-29-55,tsymbaliukmarta@example.net
Адамчук,Лілія,Григоріївна,Жіноча,1947-10-13,Електромонтажник,хутір Ніжин,"узвіз Пiвденний, буд. 30 кв. 23, Святогірськ, 06550",642-99-75,ievhenchmil@example.com
Демʼянюк,Едуард,Миронович,Чоловіча,1977-10-23,Складальник,село Родинське,"площа Амундсена, 1-й, буд. 7 кв. 6, Яворів, 58514",079 339-93-01,hordii08@example.org
Примаченко,Олег,Богданович,Чоловіча,2008-01-15,Візажист,місто Золотоноша,"вулиця Шевченка, буд. 458 кв. 0, Богуслав, 51780",063 669-22-28,orysia83@example.com
Христенко,Вадим,Глібович,Чоловіча,1994-08-14,Стиліст,село Харцизьк,"вулиця Чубаївський, буд. 5 кв. 2, Глухів, 20400",+380 (57) 220-13-58,okhrim54@example.org
Рябченко,Роман,Олегович,Чоловіча,1961-08-19,Шериф,селище Маріуполь,"проспект 7-ма Лінія 6-й ст. Люстдорфської дороги, буд. 08, Рава-Руська, 74818",+380 41 808-09-88,demianiukmariana@example.com
Медведенко,Амалія,Іванівна,Жіноча,1969-09-03,Стоматолог,селище Карлівка,"набережна Зелена балка, буд. 553, Суходільськ, 58467",382-08-60,zlatoslavapushkar@example.net
Верменич,Юхим,Аркадійович,Чоловіча,1955-03-12,Правник,село Конотоп,"шосе Колективний, буд. 45, Гребінка, 23426",189-64-89,ckhorishko@example.com
Бандура,Соломія,Панасівна,Жіноча,1985-10-06,Бібліограф,село Любомль,"шосе Макова, буд. 028, Рахів, 94279",075 394-44-82,ilchenkotereza@example.net
